Title	URL	Assignees	Status	Priority	Estimate	Size
21/08/25 - Organização do GitHub	https://github.com/system-out-println-EcoVida/EcoVida/issues/2		Reuniões			
27/08/25 - Definindo páginas restantes.	https://github.com/Biel0988/Eco-Vida/issues/1		Reuniões			
Implementação da página "Serviços" (Front-End)	https://github.com/system-out-println-EcoVida/EcoVida/issues/6		Pendências			
Implementação da página "Contato" (Front-End)	https://github.com/system-out-println-EcoVida/EcoVida/issues/7		Pendências			
Implementação do design	https://github.com/system-out-println-EcoVida/EcoVida/issues/9		Pendências			
Implementação da página Home (Front-End)	https://github.com/system-out-println-EcoVida/EcoVida/issues/4		Em andamento			
Implementação da página "sobre" (Front-End)	https://github.com/system-out-println-EcoVida/EcoVida/issues/5		Em andamento			
Desenvolvimento Back-End	https://github.com/system-out-println-EcoVida/EcoVida/issues/8		Em andamento			
Criar readme.	https://github.com/system-out-println-EcoVida/EcoVida/issues/21		Done			
Designação de funções.	https://github.com/system-out-println-EcoVida/EcoVida/issues/22		Done			
Estrutura inicial do Front-End	https://github.com/Biel0988/Eco-Vida/issues/2		Done			
Semana 1 (07/08/25) - (14/08/25) Planejamento inicial.	https://github.com/system-out-println-EcoVida/EcoVida/issues/10	Biel0988	Sprints			
Semana 2 (14/08/25) - (21/08/25) Organização do projeto.	https://github.com/system-out-println-EcoVida/EcoVida/issues/11		Sprints			
Semana 3 (21/08/25) - (28/08/25) Estrutura inicial do front-end.	https://github.com/system-out-println-EcoVida/EcoVida/issues/12		Sprints			
Semana 4 (28/08/25) - (03/09/25) Página de serviço e identidade visual.	https://github.com/system-out-println-EcoVida/EcoVida/issues/13		Sprints			
Semana 5  (04/09/25) – (10/09/25) Página de Contato (Front).	https://github.com/system-out-println-EcoVida/EcoVida/issues/14		Sprints			
Semana 6 (11/09/25 – (17/09/25) Configuração do Back-End.	https://github.com/system-out-println-EcoVida/EcoVida/issues/15		Sprints			
Semana 7 (18/09/25) – (24/09/25) Banco de dados (MySql).	https://github.com/system-out-println-EcoVida/EcoVida/issues/16		Sprints			
Semana 8 e 9 (25/08/25) - (08/10/25) Integração do banco de dados.	https://github.com/system-out-println-EcoVida/EcoVida/issues/17		Sprints			
Semana 10 (09/10/25) - (15/10/25) Aprimoramento de design.	https://github.com/system-out-println-EcoVida/EcoVida/issues/19		Sprints			
Semana 11  (16/10/25) – (22/10/25) Ajustes.	https://github.com/system-out-println-EcoVida/EcoVida/issues/18		Sprints			
Semana 12 (23/10/25) - (30/10/25) Finalização do projeto.	https://github.com/system-out-println-EcoVida/EcoVida/issues/20		Sprints			